# Simulation 2 (Up to date)
# 735 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Altitude (ft),Vertical velocity (m/s),Drag coefficient (​),Reference area (cm²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
286.106,-11.615,0.459,34.253
284.199,-11.626,0.459,34.253
282.291,-11.638,0.459,34.253
280.381,-11.647,0.459,34.253
278.47,-11.654,0.459,34.253
276.558,-11.657,0.459,34.253
274.646,-11.657,0.459,34.253
272.734,-11.653,0.459,34.253
270.823,-11.645,0.459,34.253
268.913,-11.634,0.459,34.253
267.006,-11.622,0.459,34.253
265.1,-11.609,0.459,34.253
263.197,-11.597,0.459,34.253
261.295,-11.586,0.459,34.253
259.395,-11.579,0.459,34.253
257.497,-11.574,0.459,34.253
255.598,-11.574,0.459,34.253
253.699,-11.577,0.459,34.253
251.8,-11.583,0.459,34.253
249.899,-11.594,0.459,34.253
247.996,-11.607,0.459,34.253
246.091,-11.621,0.459,34.253
244.183,-11.634,0.459,34.253
242.274,-11.646,0.459,34.253
240.362,-11.657,0.459,34.253
238.45,-11.664,0.459,34.253
236.536,-11.667,0.459,34.253
234.622,-11.667,0.459,34.253
232.708,-11.663,0.459,34.253
230.796,-11.657,0.459,34.253
228.884,-11.649,0.459,34.253
226.974,-11.642,0.459,34.253
225.065,-11.635,0.459,34.253
223.157,-11.629,0.459,34.253
221.249,-11.626,0.459,34.253
219.342,-11.626,0.459,34.253
217.435,-11.629,0.459,34.253
215.527,-11.635,0.459,34.253
213.618,-11.643,0.459,34.253
211.707,-11.652,0.459,34.253
209.795,-11.662,0.459,34.253
207.881,-11.671,0.459,34.253
205.966,-11.678,0.459,34.253
204.05,-11.683,0.459,34.253
202.133,-11.685,0.459,34.253
200.216,-11.684,0.459,34.253
198.3,-11.679,0.459,34.253
196.385,-11.671,0.459,34.253
194.471,-11.66,0.459,34.253
192.559,-11.647,0.459,34.253
190.65,-11.631,0.459,34.253
188.743,-11.616,0.459,34.253
186.839,-11.601,0.459,34.253
184.937,-11.587,0.459,34.253
