# Simulation 1 (Up to date)
# 883 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Altitude (ft),Vertical velocity (m/s),Drag coefficient (​),Reference area (cm²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
417.044,-10.833,0.459,30
415.269,-10.824,0.459,30
413.494,-10.82,0.459,30
411.719,-10.819,0.459,30
409.944,-10.822,0.459,30
408.169,-10.827,0.459,30
406.391,-10.833,0.459,30
404.613,-10.838,0.459,30
402.835,-10.84,0.459,30
401.056,-10.837,0.459,30
399.281,-10.83,0.459,30
397.503,-10.816,0.459,30
395.732,-10.796,0.459,30
393.963,-10.771,0.459,30
392.198,-10.744,0.459,30
390.44,-10.718,0.459,30
388.681,-10.694,0.459,30
386.929,-10.674,0.459,30
385.18,-10.66,0.459,30
383.432,-10.652,0.459,30
381.683,-10.651,0.459,30
379.938,-10.656,0.459,30
378.189,-10.665,0.459,30
376.437,-10.677,0.459,30
374.685,-10.689,0.459,30
372.93,-10.699,0.459,30
371.175,-10.706,0.459,30
369.419,-10.708,0.459,30
367.664,-10.707,0.459,30
365.906,-10.702,0.459,30
364.15,-10.696,0.459,30
362.398,-10.69,0.459,30
360.643,-10.686,0.459,30
358.891,-10.685,0.459,30
357.139,-10.686,0.459,30
355.384,-10.693,0.459,30
353.629,-10.705,0.459,30
351.873,-10.721,0.459,30
350.112,-10.738,0.459,30
348.35,-10.757,0.459,30
346.585,-10.776,0.459,30
344.813,-10.796,0.459,30
343.041,-10.813,0.459,30
341.266,-10.828,0.459,30
339.488,-10.841,0.459,30
337.71,-10.852,0.459,30
335.928,-10.862,0.459,30
334.147,-10.869,0.459,30
332.362,-10.875,0.459,30
330.577,-10.881,0.459,30
328.793,-10.887,0.459,30
327.008,-10.891,0.459,30
325.22,-10.896,0.459,30
323.432,-10.9,0.459,30
321.644,-10.903,0.459,30
319.856,-10.906,0.459,30
318.064,-10.908,0.459,30
316.276,-10.909,0.459,30
314.488,-10.907,0.459,30
312.697,-10.903,0.459,30
310.909,-10.897,0.459,30
309.124,-10.889,0.459,30
307.336,-10.878,0.459,30
305.554,-10.866,0.459,30
303.773,-10.854,0.459,30
301.991,-10.842,0.459,30
300.217,-10.832,0.459,30
298.438,-10.824,0.459,30
296.663,-10.821,0.459,30
294.888,-10.822,0.459,30
293.114,-10.829,0.459,30
291.335,-10.84,0.459,30
289.557,-10.853,0.459,30
287.776,-10.868,0.459,30
285.991,-10.883,0.459,30
284.206,-10.896,0.459,30
282.415,-10.907,0.459,30
280.627,-10.914,0.459,30
278.835,-10.918,0.459,30
277.044,-10.919,0.459,30
275.253,-10.917,0.459,30
273.465,-10.914,0.459,30
271.673,-10.913,0.459,30
269.882,-10.913,0.459,30
268.094,-10.916,0.459,30
266.302,-10.921,0.459,30
264.508,-10.931,0.459,30
262.713,-10.944,0.459,30
260.919,-10.959,0.459,30
259.117,-10.975,0.459,30
257.316,-10.99,0.459,30
255.515,-11.004,0.459,30
253.707,-11.014,0.459,30
251.9,-11.02,0.459,30
250.092,-11.022,0.459,30
248.284,-11.018,0.459,30
246.476,-11.01,0.459,30
244.672,-11,0.459,30
242.867,-10.988,0.459,30
241.066,-10.977,0.459,30
239.268,-10.967,0.459,30
237.467,-10.96,0.459,30
235.669,-10.958,0.459,30
233.875,-10.96,0.459,30
232.073,-10.964,0.459,30
230.276,-10.971,0.459,30
228.474,-10.98,0.459,30
226.673,-10.987,0.459,30
224.872,-10.994,0.459,30
223.068,-10.997,0.459,30
221.263,-10.997,0.459,30
219.459,-10.994,0.459,30
217.657,-10.988,0.459,30
215.853,-10.98,0.459,30
214.055,-10.971,0.459,30
212.254,-10.963,0.459,30
210.456,-10.957,0.459,30
208.661,-10.954,0.459,30
206.864,-10.957,0.459,30
205.066,-10.963,0.459,30
203.264,-10.973,0.459,30
201.463,-10.986,0.459,30
199.662,-11.001,0.459,30
197.854,-11.015,0.459,30
196.047,-11.027,0.459,30
194.239,-11.034,0.459,30
192.428,-11.036,0.459,30
190.617,-11.033,0.459,30
188.809,-11.023,0.459,30
187.001,-11.01,0.459,30
185.197,-10.994,0.459,30
183.396,-10.977,0.459,30
181.594,-10.964,0.459,30
179.797,-10.954,0.459,30
178.002,-10.948,0.459,30
176.204,-10.948,0.459,30
174.409,-10.954,0.459,30
172.612,-10.965,0.459,30
170.81,-10.981,0.459,30
169.009,-10.997,0.459,30
167.201,-11.015,0.459,30
165.394,-11.03,0.459,30
163.583,-11.043,0.459,30
161.772,-11.05,0.459,30
159.957,-11.051,0.459,30
158.146,-11.046,0.459,30
156.335,-11.035,0.459,30
154.524,-11.02,0.459,30
152.72,-11.001,0.459,30
150.915,-10.982,0.459,30
149.117,-10.963,0.459,30
147.32,-10.946,0.459,30
145.525,-10.934,0.459,30
143.734,-10.927,0.459,30
141.939,-10.924,0.459,30
140.148,-10.925,0.459,30
138.356,-10.929,0.459,30
136.562,-10.934,0.459,30
134.767,-10.94,0.459,30
132.972,-10.945,0.459,30
131.178,-10.949,0.459,30
129.38,-10.951,0.459,30
127.585,-10.949,0.459,30
125.791,-10.943,0.459,30
123.996,-10.936,0.459,30
122.201,-10.927,0.459,30
120.41,-10.917,0.459,30
118.619,-10.907,0.459,30
116.831,-10.899,0.459,30
115.043,-10.895,0.459,30
113.258,-10.895,0.459,30
111.47,-10.899,0.459,30
109.682,-10.907,0.459,30
107.89,-10.919,0.459,30
106.099,-10.934,0.459,30
104.304,-10.95,0.459,30
102.507,-10.966,0.459,30
100.705,-10.979,0.459,30
98.904,-10.989,0.459,30
97.1,-10.995,0.459,30
95.295,-10.995,0.459,30
93.494,-10.989,0.459,30
91.693,-10.979,0.459,30
89.892,-10.962,0.459,30
88.094,-10.943,0.459,30
86.302,-10.921,0.459,30
84.511,-10.899,0.459,30
82.726,-10.877,0.459,30
80.945,-10.856,0.459,30
79.163,-10.839,0.459,30
77.388,-10.827,0.459,30
75.61,-10.818,0.459,30
73.839,-10.813,0.459,30
72.064,-10.812,0.459,30
70.289,-10.814,0.459,30
68.517,-10.818,0.459,30
66.742,-10.824,0.459,30
64.964,-10.829,0.459,30
63.189,-10.834,0.459,30
61.411,-10.836,0.459,30
59.633,-10.835,0.459,30
57.858,-10.83,0.459,30
56.079,-10.821,0.459,30
54.308,-10.808,0.459,30
52.536,-10.791,0.459,30
50.768,-10.77,0.459,30
49.003,-10.746,0.459,30
47.241,-10.72,0.459,30
45.486,-10.695,0.459,30
43.73,-10.671,0.459,30
41.982,-10.65,0.459,30
40.236,-10.633,0.459,30
38.494,-10.62,0.459,30
36.752,-10.611,0.459,30
35.013,-10.608,0.459,30
33.271,-10.61,0.459,30
31.532,-10.615,0.459,30
29.79,-10.623,0.459,30
28.045,-10.634,0.459,30
26.302,-10.645,0.459,30
24.554,-10.654,0.459,30
22.805,-10.661,0.459,30
